"ID"	"Session"	"Date"	"Trades"	"Min. price"	"Max.price"	"Weighted avg. price"	"Weighted closing price"	"Volume in Securities"	"Volume in GEL"
"3879"	"UGB"	"15"	"11/05/00"	2	2.37	2.4	2.376	NA	625000	1485000
"3880"	"UGB"	"21"	"1/06/00"	3	0.6	1	0.64	NA	14254	9187.4
"3881"	"UGB"	"23"	"8/06/00"	2	2.35	2.36	2.352	NA	208333	489999.23
"3882"	"UGB"	"31"	"6/07/00"	1	0.586	0.586	0.586	NA	257	150.6
"3883"	"UGB"	"38"	"1/08/00"	1	0.7	0.7	0.7	NA	31941	22358.7
"3884"	"UGB"	"56"	"3/10/00"	5	0.35	0.6	0.49	NA	32048	15715.25
"3885"	"UGB"	"57"	"5/10/00"	3	0.4	0.6	0.512	NA	17265	8842.3
"3886"	"UGB"	"63"	"26/10/00"	6	0.4	0.4	0.4	NA	800547	320218.8
"3887"	"UGB"	"78"	"21/12/00"	1	2.38	2.38	2.38	NA	833333	1983332.54
"3888"	"UGB"	"79"	"26/12/00"	1	1	1	1	NA	168000	168000
"3889"	"UGB"	"91"	"8/02/01"	7	0.4	0.6	0.4562	NA	26699	12179.2
"3890"	"UGB"	"102"	"20/03/01"	5	0.4	0.5	0.4564	NA	9545	4356.3
"3891"	"UGB"	"124"	"1/06/01"	5	0.5	0.5	0.5	NA	6026	3013
"3892"	"UGB"	"127"	"14/06/01"	6	0.4	0.6	0.5807	NA	4986	2895.5
"3893"	"UGB"	"140"	"31/07/01"	6	0.4	0.7	0.6431	NA	7942	5107.7
"3894"	"UGB"	"155"	"25/09/01"	4	0.5	0.6	0.5192	NA	978	507.82
"3895"	"UGB"	"156"	"27/09/01"	8	0.61	0.7	0.6442	NA	171	110.15
"3896"	"UGB"	"157"	"2/10/01"	6	0.4	0.5	0.4744	NA	1091	517.6
"3897"	"UGB"	"159"	"9/10/01"	5	0.3	1	0.3001	NA	411039	123361.9
"3898"	"UGB"	"161"	"16/10/01"	1	0.4	0.4	0.4	NA	69	27.6
"3899"	"UGB"	"163"	"23/10/01"	1	0.5	0.5	0.5	NA	760	380
"3900"	"UGB"	"169"	"13/11/01"	4	0.5	0.521	0.505	NA	632	319.47
"3901"	"UGB"	"171"	"20/11/01"	1	0.4	0.4	0.4	NA	2	0.8
"3902"	"UGB"	"173"	"27/11/01"	15	0.7	0.7	0.7	NA	148	103.6
"3903"	"UGB"	"174"	"29/11/01"	2	0.5	0.5	0.5	NA	140	70
"3904"	"UGB"	"177"	"11/12/01"	4	0.4	0.7	0.6996	NA	99817	69832.3
"3905"	"UGB"	"189"	"24/01/02"	1	0.4	0.4	0.4	NA	305	122
"3906"	"UGB"	"193"	"7/02/02"	11	0.5	0.9	0.8991	NA	1105434	993863.2
"3907"	"UGB"	"194"	"12/02/02"	1	0.4	0.4	0.4	NA	154	61.6
"3908"	"UGB"	"204"	"19/03/02"	6	0.4	1	0.9996	NA	217152	217059.6
"3909"	"UGB"	"214"	"25/04/02"	7	0.6	0.7	0.6794	NA	3066	2083
"3910"	"UGB"	"221"	"23/05/02"	5	0.6	0.6	0.6	NA	2411	1446.6
"3911"	"UGB"	"226"	"11/06/02"	1	0.5	0.5	0.5	NA	21	10.5
"3912"	"UGB"	"230"	"25/06/02"	2	0.603	0.603	0.603	NA	332	200.2
"3913"	"UGB"	"232"	"2/07/02"	4	0.83	0.83	0.83	NA	2411	2001.13
"3914"	"UGB"	"235"	"11/07/02"	2	0.5	0.6	0.5905	NA	1563	923
"3915"	"UGB"	"238"	"23/07/02"	2	0.6	0.6	0.6	NA	1667	1000.2
"3916"	"UGB"	"244"	"13/08/02"	7	0.6	0.7	0.6182	NA	16426	10154.8
"3917"	"UGB"	"255"	"19/09/02"	1	0.6	0.6	0.6	NA	507	304.2
"3918"	"UGB"	"267"	"31/10/02"	5	0.62	0.64	0.6357	NA	3220	2047
"3919"	"UGB"	"270"	"12/11/02"	5	0.62	0.62	0.62	NA	2049	1270.38
"3920"	"UGB"	"271"	"14/11/02"	1	0.7	0.7	0.7	NA	301	210.7
"3921"	"UGB"	"277"	"5/12/02"	6	0.6	0.72	0.7113	NA	12299	8748.84
"3922"	"UGB"	"279"	"12/12/02"	5	0.62	0.72	0.6575	NA	6075	3994.3
"3923"	"UGB"	"291"	"30/01/03"	4	0.62	0.62	0.62	NA	1012	627.44
"3924"	"UGB"	"303"	"13/03/03"	4	0.62	0.62	0.62	NA	2530	1568.6
"3925"	"UGB"	"307"	"27/03/03"	1	0.72	0.72	0.72	NA	632	455.04
"3926"	"UGB"	"323"	"22/05/03"	5	0.72	0.72	0.72	NA	2680	1929.6
"3927"	"UGB"	"326"	"3/06/03"	1	0.72	0.72	0.72	NA	380	273.6
"3928"	"UGB"	"329"	"12/06/03"	1	0.62	0.62	0.62	NA	21	13.02
"3929"	"UGB"	"333"	"26/06/03"	4	0.72	0.72	0.72	NA	7720	5558.4
"3930"	"UGB"	"337"	"10/07/03"	1	0.72	0.72	0.72	NA	154	110.88
"3931"	"UGB"	"350"	"26/08/03"	2	0.62	0.62	0.62	NA	380	235.6
"3932"	"UGB"	"352"	"4/09/03"	4	0.72	0.72	0.72	NA	2411	1735.92
"3933"	"UGB"	"357"	"23/09/03"	1	0.72	0.72	0.72	NA	154	110.88
"3934"	"UGB"	"363"	"16/10/03"	1	0.72	0.72	0.72	NA	125	90
